data,valor
2000-01-01,46.56
2000-02-01,47.09
2000-03-01,49.1
2000-04-01,49.1
2000-05-01,51.11
2000-06-01,48.66
2000-07-01,50.41
2000-08-01,50.24
2000-09-01,49.01
2000-10-01,49.98
2000-11-01,50.85
2000-12-01,70.11
2001-01-01,47.44
2001-02-01,44.72
2001-03-01,50.33
2001-04-01,48.14
2001-05-01,49.98
2001-06-01,48.05
2001-07-01,48.31
2001-08-01,49.63
2001-09-01,47.61
2001-10-01,50.59
2001-11-01,49.63
2001-12-01,68.18
2002-01-01,46.91
2002-02-01,44.02
2002-03-01,50.5
2002-04-01,47.18
2002-05-01,50.59
2002-06-01,47.18
2002-07-01,49.19
2002-08-01,50.76
2002-09-01,46.91
2002-10-01,50.85
2002-11-01,49.63
2002-12-01,64.68
2003-01-01,44.81
2003-02-01,43.32
2003-03-01,44.72
2003-04-01,45.42
2003-05-01,47.44
2003-06-01,44.46
2003-07-01,47.0
2003-08-01,47.88
2003-09-01,45.6
2003-10-01,49.36
2003-11-01,49.54
2003-12-01,66.78
2004-01-01,47.53
2004-02-01,45.51
2004-03-01,49.63
2004-04-01,50.06
2004-05-01,52.51
2004-06-01,50.24
2004-07-01,52.69
2004-08-01,51.11
2004-09-01,49.8
2004-10-01,53.48
2004-11-01,52.6
2004-12-01,74.4
2005-01-01,50.5
2005-02-01,46.48
2005-03-01,53.48
2005-04-01,51.73
2005-05-01,53.91
2005-06-01,52.86
2005-07-01,55.05
2005-08-01,54.61
2005-09-01,52.51
2005-10-01,55.49
2005-11-01,55.23
2005-12-01,78.07
2006-01-01,53.83
2006-02-01,49.36
2006-03-01,55.05
2006-04-01,55.58
2006-05-01,57.94
2006-06-01,54.96
2006-07-01,56.28
2006-08-01,58.12
2006-09-01,57.77
2006-10-01,59.34
2006-11-01,60.22
2006-12-01,82.53
2007-01-01,58.38
2007-02-01,53.83
2007-03-01,61.44
2007-04-01,59.87
2007-05-01,64.07
2007-06-01,61.27
2007-07-01,61.53
2007-08-01,64.07
2007-09-01,62.49
2007-10-01,65.03
2007-11-01,66.43
2007-12-01,90.32
2008-01-01,65.21
2008-02-01,60.74
2008-03-01,68.27
2008-04-01,65.03
2008-05-01,71.16
2008-06-01,66.26
2008-07-01,68.44
2008-08-01,70.37
2008-09-01,68.36
2008-10-01,71.51
2008-11-01,69.84
2008-12-01,93.74
2009-01-01,69.14
2009-02-01,63.02
2009-03-01,69.14
2009-04-01,69.67
2009-05-01,73.17
2009-06-01,70.02
2009-07-01,72.56
2009-08-01,73.69
2009-09-01,71.86
2009-10-01,77.63
2009-11-01,75.8
2009-12-01,102.4
2010-01-01,76.32
2010-02-01,70.72
2010-03-01,80.0
2010-04-01,76.06
2010-05-01,80.7
2010-06-01,77.98
2010-07-01,80.61
2010-08-01,81.48
2010-09-01,80.43
2010-10-01,84.37
2010-11-01,83.32
2010-12-01,112.91
2011-01-01,82.62
2011-02-01,76.76
2011-03-01,83.15
2011-04-01,83.85
2011-05-01,85.77
2011-06-01,83.5
2011-07-01,86.3
2011-08-01,86.65
2011-09-01,84.55
2011-10-01,87.96
2011-11-01,88.92
2011-12-01,120.43
2012-01-01,89.01
2012-02-01,84.9
2012-03-01,93.56
2012-04-01,88.84
2012-05-01,92.78
2012-06-01,91.29
2012-07-01,92.51
2012-08-01,95.31
2012-09-01,91.81
2012-10-01,96.01
2012-11-01,96.36
2012-12-01,126.56
2013-01-01,94.35
2013-02-01,84.64
2013-03-01,97.76
2013-04-01,90.32
2013-05-01,96.89
2013-06-01,92.78
2013-07-01,98.11
2013-08-01,101.18
2013-09-01,95.66
2013-10-01,101.18
2013-11-01,103.19
2013-12-01,131.46
2014-01-01,100.39
2014-02-01,91.99
2014-03-01,96.71
2014-04-01,96.36
2014-05-01,101.35
2014-06-01,93.65
2014-07-01,97.24
2014-08-01,100.21
2014-09-01,96.19
2014-10-01,103.37
2014-11-01,104.68
2014-12-01,131.81
2015-01-01,100.91
2015-02-01,88.92
2015-03-01,96.98
2015-04-01,93.21
2015-05-01,96.8
2015-06-01,91.11
2015-07-01,93.48
2015-08-01,93.3
2015-09-01,90.15
2015-10-01,97.5
2015-11-01,96.54
2015-12-01,122.27
2016-01-01,90.24
2016-02-01,85.16
2016-03-01,91.46
2016-04-01,86.82
2016-05-01,88.14
2016-06-01,86.74
2016-07-01,88.22
2016-08-01,88.14
2016-09-01,84.99
2016-10-01,89.62
2016-11-01,92.86
2016-12-01,116.32
2017-01-01,89.14
2017-02-01,82.01
2017-03-01,88.52
2017-04-01,88.31
2017-05-01,90.43
2017-06-01,89.24
2017-07-01,90.94
2017-08-01,91.28
2017-09-01,90.29
2017-10-01,91.94
2017-11-01,98.43
2017-12-01,120.93
