"","dole"
"1956-01-01",4742
"1956-02-01",6128
"1956-03-01",6494
"1956-04-01",5379
"1956-05-01",6011
"1956-06-01",7003
"1956-07-01",9164
"1956-08-01",10333
"1956-09-01",9614
"1956-10-01",9545
"1956-11-01",10096
"1956-12-01",13277
"1957-01-01",15711
"1957-02-01",13135
"1957-03-01",13077
"1957-04-01",15453
"1957-05-01",15995
"1957-06-01",18071
"1957-07-01",20291
"1957-08-01",20175
"1957-09-01",18975
"1957-10-01",17928
"1957-11-01",19782
"1957-12-01",26055
"1958-01-01",29856
"1958-02-01",26879
"1958-03-01",24485
"1958-04-01",27745
"1958-05-01",27282
"1958-06-01",29418
"1958-07-01",29908
"1958-08-01",29278
"1958-09-01",26002
"1958-10-01",23826
"1958-11-01",22302
"1958-12-01",27565
"1959-01-01",31486
"1959-02-01",28207
"1959-03-01",27669
"1959-04-01",27559
"1959-05-01",27924
"1959-06-01",27528
"1959-07-01",27410
"1959-08-01",24887
"1959-09-01",21904
"1959-10-01",19598
"1959-11-01",19037
"1959-12-01",22469
"1960-01-01",23781
"1960-02-01",20020
"1960-03-01",18177
"1960-04-01",17732
"1960-05-01",16765
"1960-06-01",16310
"1960-07-01",14897
"1960-08-01",12940
"1960-09-01",11465
"1960-10-01",10364
"1960-11-01",11738
"1960-12-01",17633
"1961-01-01",19257
"1961-02-01",20941
"1961-03-01",29718
"1961-04-01",35025
"1961-05-01",45110
"1961-06-01",57154
"1961-07-01",61499
"1961-08-01",62090
"1961-09-01",59561
"1961-10-01",48531
"1961-11-01",47541
"1961-12-01",56756
"1962-01-01",56755
"1962-02-01",49740
"1962-03-01",45870
"1962-04-01",49136
"1962-05-01",47256
"1962-06-01",46324
"1962-07-01",45453
"1962-08-01",42333
"1962-09-01",36851
"1962-10-01",33952
"1962-11-01",33392
"1962-12-01",43153
"1963-01-01",46178
"1963-02-01",40482
"1963-03-01",36394
"1963-04-01",37142
"1963-05-01",36424
"1963-06-01",38188
"1963-07-01",37174
"1963-08-01",31869
"1963-09-01",26575
"1963-10-01",21758
"1963-11-01",20978
"1963-12-01",29555
"1964-01-01",28649
"1964-02-01",24226
"1964-03-01",21955
"1964-04-01",19937
"1964-05-01",18287
"1964-06-01",18129
"1964-07-01",17072
"1964-08-01",14924
"1964-09-01",12491
"1964-10-01",11160
"1964-11-01",10658
"1964-12-01",15451
"1965-01-01",15831
"1965-02-01",13698
"1965-03-01",12111
"1965-04-01",12690
"1965-05-01",12585
"1965-06-01",12855
"1965-07-01",12137
"1965-08-01",10977
"1965-09-01",9993
"1965-10-01",9614
"1965-11-01",10459
"1965-12-01",20509
"1966-01-01",19490
"1966-02-01",17611
"1966-03-01",16206
"1966-04-01",17560
"1966-05-01",18082
"1966-06-01",19482
"1966-07-01",19200
"1966-08-01",18918
"1966-09-01",17375
"1966-10-01",16122
"1966-11-01",17269
"1966-12-01",26261
"1967-01-01",24911
"1967-02-01",21969
"1967-03-01",21956
"1967-04-01",20944
"1967-05-01",22200
"1967-06-01",24002
"1967-07-01",22951
"1967-08-01",20143
"1967-09-01",17187
"1967-10-01",15287
"1967-11-01",17394
"1967-12-01",26321
"1968-01-01",26943
"1968-02-01",23735
"1968-03-01",20744
"1968-04-01",21090
"1968-05-01",21502
"1968-06-01",21275
"1968-07-01",19426
"1968-08-01",16798
