Luva,Resposta
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
A,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
B,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
C,Sim
