id_visita,receita
pch1227,3557.05
dep1756,4.8
ten1521,280.11
ahk6325,4.2
jwa3254,6.73
bey3258,2833.41
dgu6357,246.92
keb3138,1542.75
iap2316,486.78
reu8172,2359.6
mcm8721,2154.6
zxm1417,1243.03
cze2785,272.26
fmz5771,1784.71
vvk6264,1331.26
dou1115,321.14
rvg2714,525.16
bnc7211,391.85
pyr1434,770.46
cng3572,241.18
kak5566,4060.53
hta4156,471.66
hdl5362,348.74
tqh7765,327.7
hgk1618,909.27
zwd4585,2361.66
mjk5131,80.27
otb7155,884.48
rge1635,638.21
dcw8327,140.53
fpr3448,421.6
gvj5588,3077.31
xdq8282,21.76
cby1265,2356.96
tbk3112,445.0
jvt7885,1044.12
coy1378,1558.96
qcq1875,3336.34
jri4148,3502.08
pkr2738,160.71
luh7442,2492.21
mod1254,236.09
aos6553,2515.88
kes8137,133.33
dey5886,394.23
tzc7433,142.08
bfk4624,452.03
gfs8274,99.59
dtd4586,1550.06
vlc6276,524.35
ntp6675,167.01
mmc6465,624.62
ete7638,3322.31
vep7356,348.88
agk1263,331.41
xtl4421,2344.02
uhm5443,228.78
nru7588,2392.56
sxx7672,536.36
afb8472,2456.74
dtq5358,1250.9
vkj8266,2332.84
cvr5716,2027.23
ixl3528,1093.58
qxv2272,507.47
ysl6331,1137.05
nhw5314,325.99
qjt8676,246.2
hwl3472,1950.36
ltg1888,200.43
mhg2461,425.04
bco1681,200.73
zxr6657,1197.85
wjp2613,323.18
rls5116,57.66
ksp2761,900.03
vxc1546,323.28
rfl6574,134.7
hkj6727,1997.73
zbh6682,764.51
yhi1476,4062.18
ikx7671,110.76
fzb6381,359.53
kmi8448,735.82
eoq3723,994.11
ibw8188,438.04
wkj4318,4117.97
flm7778,1243.19
coj4343,2502.37
ert4233,3385.66
nql3751,127.78
njt8756,849.34
ggn4223,1248.77
cky3648,1366.67
wpd3763,636.42
the3783,1944.72
zro2372,881.63
ehs2486,897.32
tvd2141,1113.46
thb4641,1454.75
soz8164,1813.65
mmo7745,127.51
fgv8852,1440.14
aqc6731,1710.71
mip5272,2084.48
uvf6873,319.19
fph2515,249.77
ekp2633,1637.12
rbe7735,641.02
jje1654,203.7
tkf7266,53.43
qyc1513,294.88
bjo2371,640.42
wnx5431,874.78
hfw7386,115.47
lxg4155,860.15
ysj7481,696.03
bxb5262,921.08
xdx1374,132.82
ycm8425,984.93
aul4286,1334.48
qbz6221,283.47
zxl8658,423.72
mzj7778,640.58
dbg1666,1606.4
hjb5746,986.09
cvw2371,1326.98
fdz3222,15.05
juq7358,786.39
wbb5777,74.0
vhg2351,144.59
tlk6143,360.95
qfg6718,544.89
vvw6567,157.53
goj4844,914.73
jix3323,246.54
stq7434,48.86
enk4414,1207.93
nrc4366,473.13
efc6776,269.95
dhi5627,659.34
cnz4381,2685.34
zqc3847,744.73
duk6141,240.74
fxl6318,1045.9
njy5854,494.47
saz8815,2921.93
ufu1176,647.47
ltx8587,1081.54
dli6338,1580.93
sgf2832,467.52
qck5468,386.21
pye1876,10.28
evr8832,507.8
cmr2535,603.19
syn4584,1331.28
deg5326,517.49
kib2223,1945.92
ldl3166,23.68
dzg4721,63.34
alt2234,507.51
rip4374,984.31
iyu4126,1926.61
xjj2288,55.8
ngb6521,530.55
jzq4658,141.52
wdu7887,1677.78
igj4831,215.85
oop7538,376.27
xzl5856,1775.79
vcn7863,154.82
ijw8364,558.41
eue7221,996.96
gxh3481,235.63
wlt1568,490.4
ezl1434,533.97
cgk2852,802.76
vvr5688,307.21
cze5441,317.41
dso1723,160.75
wpi6612,1096.69
mta1113,18.03
fdd1187,644.19
myu7441,75.6
vqo1813,3555.52
pcu8474,736.34
cpe3325,595.65
ebt4874,362.06
pyb4211,164.39
tha2438,657.59
rlp6523,1506.63
inb2224,2306.59
kei6518,832.32
efa8453,376.88
hnf6876,5404.21
jcs8712,3580.47
cap7326,2339.2
doy8447,2.08
kdq8785,1111.89
fop1734,335.95
wyi1318,1059.88
wkb2417,124.85
tyj3272,1159.88
ilc2453,1894.14
pnr6154,830.54
dws8851,856.45
zld1866,1203.75
zit3418,988.63
aot4864,165.97
mhd1788,53.69
zge6144,133.74
ojx3167,327.23
fzz6126,489.45
ozd1851,445.36
lzi2552,386.99
zdr4438,2338.73
txw6728,3423.6
oxq3237,140.57
edv4436,283.47
ifw4513,1146.45
vqb4766,579.05
tad3175,307.46
jrz8123,114.46
sgu7211,583.89
hxg3162,1404.55
cyg1687,393.46
jwu6185,291.55
zgj2633,1802.34
uxo8514,1298.34
tld8853,127.36
bfn6156,80.21
fxs2628,1046.67
gti6545,938.47
yjy3311,1258.68
vci8444,1487.05
iwn5655,302.97
jea6216,196.18
imf4138,210.49
snl2321,417.99
jmz5253,1282.37
niz1285,316.74
lhx3474,1458.09
mos6243,577.93
nhh7644,280.41
bar6674,513.2
plq6515,1621.3
oad4741,1625.83
lgo5125,2451.3
rrc8855,89.65
pqd7762,1381.7
wej6285,1509.15
jez4178,222.76
zzn3683,3681.0
rrn7517,609.74
zwi5834,1190.06
xni6616,1307.28
jei6188,1077.96
urt3734,514.34
wal4264,1858.55
xsx3412,342.15
cwd7672,528.43
arh5581,752.36
wmt2662,50.75
qbt1471,478.19
ppp4187,664.07
zsi3625,776.25
edg5483,253.87
akp2684,152.59
ctn2571,1205.3
ymy1654,184.95
ehi2652,114.15
ejw1326,292.34
msv7182,672.33
mpw6517,14.01
xdf7345,601.97
gmh4466,781.82
ibc5412,83.59
cjy2215,142.43
duf1458,2094.97
tfg8665,396.81
ale5665,103.92
guo8622,571.35
hsa4673,1482.52
ifo3171,297.3
mjm1333,135.15
ejr7236,730.98
mxm4773,162.06
ekh3241,499.87
zyv4871,2086.23
bah3854,1476.77
qxn8668,500.39
pgc7118,1671.31
igj5832,363.09
eva8167,3523.32
afc4141,1109.19
mjs4827,2536.89
bap8838,1327.45
nsc5243,927.93
pyv1687,841.87
rvw6554,2285.29
cek6265,2355.04
ukt5743,1708.11
gpl3632,3591.85
ebi1834,272.05
bjl2487,490.51
ska2785,752.58
hno5545,258.44
xjx7531,425.38
wkd1421,856.84
vtf6527,1978.99
ohh7526,739.51
tbv5417,1357.2
zgh3412,43.77
bht6546,77.84
jxv3124,189.29
vpf2723,1026.44
zqc2432,1323.21
ejc4383,1054.29
caa1343,1267.89
auz2863,1445.5
xod7357,233.61
lzy2245,1225.47
soa8537,1235.0
qdd6618,1249.89
vdr6852,22.73
fni2746,1189.19
smw5635,153.85
sjv8475,3511.87
tlj8651,494.23
fss1187,356.06
xmn5738,637.01
fhp2817,1970.7
mjg4271,1679.41
zhh5711,2030.52
iye1655,1209.08
agh1816,131.6
ams4461,899.77
luf2363,1289.38
cqd2223,738.5
wgk5873,978.02
ghb2273,2058.35
mlz5417,130.02
uof5351,54.52
qih4735,194.98
zzc3787,1002.82
cmp8525,15.65
svm2574,1887.12
wpv7488,664.61
zgl1185,1301.06
etq6315,139.57
qbs3471,940.64
aap6428,1006.61
jum2627,11.85
gsx5448,51.7
rbb5264,1817.65
ors2884,1081.71
bmc3747,39.17
idv4334,283.17
glk1185,497.9
aet1111,230.17
ykl7316,215.24
zmj5321,1387.97
pod5182,684.96
pys4332,328.64
ava4384,787.41
utz3652,911.33
bbr7712,882.16
una2271,2343.07
ngv4615,888.54
lzv4264,1483.42
vac2545,1466.3
ott1545,38.45
lan4252,1838.26
dgj7323,1016.65
vur8655,1422.04
fwr2633,54.24
fuo5726,1371.87
deu5423,1903.98
zxx4321,238.67
ssc1715,511.86
gti6766,91.56
fwi2641,1405.34
ptc3285,1743.69
csr1812,4992.67
mrx8248,4085.35
wml5552,80.89
yve5668,69.7
ldz3174,2357.06
mcu8631,736.27
nki6345,643.87
klw4744,478.56
jpi2315,1367.22
cnx6476,84.37
jaz6765,920.01
ind7576,1094.89
pev3772,1280.72
gou8121,60.66
rco7731,1778.1
rrb6873,365.7
gck8527,1862.06
dhp4223,224.33
dbt8832,129.27
koo6876,198.43
rpz3647,248.07
ful4845,1213.38
yhu7684,916.14
chh4261,273.11
zhp4437,969.98
gfm3163,435.64
fju6146,1247.44
kgd2111,268.76
joi6856,20.52
ans1365,351.87
xco4124,1624.9
xoj5253,7.46
pka1758,143.55
guc6461,3341.11
tvh4543,4519.87
sad8618,41.48
bfp1674,4821.29
hfx7646,394.9
rbj2766,761.88
nhu1686,1899.98
ptf8324,1471.78
stl1251,123.23
fum1866,272.55
zqk8521,1219.85
pfj6671,1242.83
dwk4845,1758.03
loh2181,73.13
iss6721,1002.56
oab8671,1089.46
xde4154,1359.52
len6386,1805.35
qvu5557,354.44
uda8135,433.6
ktf6622,578.79
gaf8212,1422.23
esm2831,422.54
tdq4267,3924.06
ehf8374,975.04
vgl2125,3780.65
byf1723,24.28
pel3631,2753.27
drw1167,1000.03
stk5668,6.56
uxf2555,1616.2
odx6688,1448.97
bgm3657,205.7
rng8338,100.39
gdu6547,3760.29
usr4733,428.67
msb8588,3527.44
hvf2431,809.96
uwu8718,3.15
rum5277,223.99
zrg5341,719.36
yva7173,375.0
jhy1687,264.34
ccw6248,676.46
dqw4817,1040.84
ksh6383,106.35
lba7683,797.2
pzr7563,1330.13
zbr3786,41.2
jql8561,3953.42
eil8635,3828.55
rbq2845,2204.87
tcr4741,471.65
fok4677,2366.32
kly5172,25.64
tfm2785,363.1
wss4824,1228.88
lxv6117,55.96
ztx7658,306.88
fds2835,351.81
zci6363,30.36
kip4413,1928.9
khx3384,1087.41
pxs4563,238.06
ima8786,423.03
leu5376,1546.78
ose8886,2363.49
iwh6282,337.39
paa6713,1493.5
ecv8446,1904.03
emx3427,427.57
xsw6175,575.45
tzn2158,2773.78
ywx3687,695.42
mav7228,419.47
dlf7558,826.53
qpv7662,4340.91
tvf3885,867.52
lwr6458,398.06
wcy5464,1247.67
txz8283,1212.71
fqz2762,1471.86
wjr8447,755.35
rfy6177,968.17
cyy5336,1197.04
bbb7613,1048.55
ozt7134,159.06
mqd6234,395.03
kin3818,171.39
onh4674,66.38
ndw4351,20.35
pwj5757,1495.97
whj1743,634.3
xul7678,49.6
ytv4131,47.5
cda4762,820.95
mnk8777,1806.27
zgh4813,130.85
jxi8454,346.5
ryl5125,380.68
ojg2812,446.97
grf3883,63.43
fla8265,277.69
mxx7164,411.74
jnb5315,243.48
ooy3552,379.34
ndk8784,631.38
dvp3232,322.69
kaw5278,3198.11
mgi4726,1245.26
ttm8217,233.78
gru1682,164.39
lom8883,857.2
dko4754,775.87
vly8825,112.72
gxi3152,711.57
fgx2276,278.23
ynk8335,2375.23
hjo4161,1148.76
lzr4445,213.98
nml1141,409.16
iis3484,742.38
ukd2512,1981.57
usc7536,638.76
veo1861,492.99
vhd2681,1504.96
baw2838,168.28
gdm7541,415.26
wma6875,1701.06
pbf2283,557.84
azh8787,269.6
zdh1236,1895.76
jyv1285,254.15
oul2377,173.27
rml2617,203.03
cib7548,1732.06
jza6253,611.66
jpv7714,651.04
qeh6243,1814.44
rud8378,894.95
tsy1874,596.83
crm5187,824.94
sjb3182,45.99
irm1585,343.6
tlo1215,3347.59
dyq1713,289.01
zga7683,303.24
cqe5463,1600.42
syg6127,662.18
jvp8885,813.98
chd4345,834.1
sue4862,353.52
vwy6674,642.28
vqe5185,0.15
aiq5161,1661.8
www2333,5812.01
vrt7643,22.58
jbc7584,545.34
sni3226,110.64
jbi7574,2379.81
qfd5852,488.21
kop5131,386.98
ldq1468,1296.11
qwo3732,845.63
scm4868,349.19
sny3771,616.92
ujo4687,13.78
ywv6544,453.22
cgi8677,1537.94
lry5253,222.47
vhy5682,154.32
nty4544,995.23
knr8326,984.49
hty6355,131.8
pvq7136,475.2
kia3558,3703.36
fnb8472,907.18
umw8775,219.62
roj7783,1067.59
eyl2617,251.48
bzp4526,29.82
akj2548,767.23
fzg5368,1286.91
dhr6261,1135.94
jsz6664,33.27
xvx1762,2013.61
muh1318,580.4
boy5527,827.19
ens4658,64.0
kop5233,4303.58
oee6431,3123.36
ipa2316,2137.03
cgh6726,873.31
ebc5214,319.7
lfn3453,1646.18
kdq4553,1166.17
fxx7841,1141.48
oue5288,877.68
qxu4824,1682.32
oxs1332,1253.57
qau5213,599.56
uzr8852,276.05
hyn1142,845.95
vge8473,295.31
uxg3647,847.79
jwc1365,1434.21
vpp3183,258.18
yap1127,2893.41
ocm4513,1114.87
rmr8231,243.39
dcx7877,376.18
xpo7617,188.76
ubf6745,825.04
meo2544,2266.7
psm5237,227.91
sow3187,1213.9
mlx4665,352.54
tfx2474,883.4
mhc1638,1043.6
chz7273,77.65
npb1418,3.75
agq8243,948.9
nul2524,1017.75
zbx3421,242.71
kcc6116,579.78
tjp8565,877.48
cjv7236,492.36
ltl6746,6192.26
uvz1277,755.34
ipm4547,1467.43
rps7585,887.86
iqn3777,908.95
qgh5348,4154.15
wmu4742,122.35
yph6148,1866.0
gnz4528,317.06
xxe8783,1892.05
gjb2652,316.11
lch1867,173.04
cfi8637,88.16
hex8235,1224.03
zuk6286,659.0
kcx2156,1791.2
pjn4232,407.86
wlh6432,878.98
ieh1563,961.14
hja1767,398.27
gtk8784,767.95
bgl3751,104.46
irq3575,731.57
dfl5151,524.46
glx5237,11.4
fuk1884,1136.55
vsg1643,1132.25
uxu6255,140.45
oon2735,1524.32
xbj1228,2076.92
qhu8415,1558.42
cjw5733,347.41
bne7432,701.59
vey6145,1654.86
eqk1616,31.75
ntx3258,213.56
fom5124,35.86
hfu2166,3823.56
qnm1367,680.7
gpr3734,664.87
tmu7184,34.82
osk7224,761.88
lbv5748,1868.49
wjx4687,120.28
upy4346,47.34
rah6688,1726.79
ctu4536,709.44
mtb2111,1077.52
epq8422,1303.78
lib4425,1854.82
neg7285,73.9
lpm4841,632.31
gtq2362,868.55
nug5487,1986.52
tsb8326,1114.87
mzt8851,338.97
yqq5835,700.92
tez7813,12.87
vlp2757,1147.39
azz6541,255.16
wfu8317,2313.95
bbg7222,1675.94
iea5238,243.19
mhd2432,1481.89
uep5141,126.6
tdm4716,14.47
ezm8882,113.24
qct5676,1698.5
wub4726,36.96
gle8532,161.03
ang5427,208.37
uwt3266,1229.85
pve2532,337.08
ypd4777,170.19
kyn7367,764.72
swz6478,542.68
feo7814,346.13
wix1172,322.61
dgn1125,1581.45
jqf5434,1834.15
wxm4528,260.11
jze1178,900.87
ofe1321,2941.61
usd3748,105.72
ucd6587,881.27
hvm2734,296.35
mmb4623,248.94
xbs8384,116.17
ekp5132,269.28
cff3614,2117.07
ncw6685,40.29
cqb6414,57.22
kqa7172,2444.92
viy4757,3896.71
pqd7834,1363.24
tuk1623,318.28
aot3161,1452.32
ycx3518,104.07
mzp8825,1323.32
gdg8113,1075.52
vam6732,1187.64
zdg4645,761.96
paw3681,293.58
woo1871,105.5
lqi7323,2052.58
dam7616,435.36
mco5818,2457.85
oui2267,124.67
rmm2667,451.86
emq4533,649.86
mbf2581,582.65
xpw8431,334.68
lto2222,980.51
epb3483,497.99
bca3878,371.32
fon1731,469.85
qod6347,896.59
pbj3364,2563.59
kqr2276,2656.03
itz3517,1402.5
bob5172,2191.41
zet2368,44.17
qwc4726,28.36
kvp8564,33.37
imz4135,381.69
ntc2776,679.06
hnt1464,472.17
txa7262,2273.89
qou3814,1254.69
rat7162,354.85
wfp1645,896.06
deh5184,43.49
shw3528,527.59
xrx3887,879.27
ihl5178,913.73
amr5271,245.66
nwo4283,1063.03
xzg4456,156.92
bfo1116,541.96
twl2857,1872.02
yfk2422,268.47
bck3642,759.36
phq2126,2589.08
hzn6817,952.04
rhi1474,3597.96
uys8487,266.07
mlw5353,4508.17
avw5232,390.97
lzj7647,722.9
qon4854,305.69
hzq2271,746.51
fdg3747,514.58
han3775,140.03
tke6353,2439.82
rvm1571,226.09
lsi7546,190.64
nir6445,125.86
yzy1534,170.28
qfx4113,417.05
fgt5211,183.75
qha5684,69.06
rfg4273,193.86
erq6768,1843.68
zza3563,10.17
bxb5324,767.56
hkp7384,545.74
jmc6663,319.87
zyz4144,2211.03
dvr2863,550.33
wbt4711,546.4
vhm4774,306.51
ygk6717,1422.7
igq6356,186.92
for7614,917.67
pat2771,606.33
exj6568,487.84
syo3873,388.36
syb2644,630.54
rrw3236,406.59
sjm6116,10.77
vif4415,264.74
rwh6771,573.64
cou3246,2503.44
kdi5267,89.29
zqt7885,1483.79
njc4685,101.64
qjn6512,3325.85
rsn1238,487.16
yub2541,1925.35
prc3122,2885.63
tmo3455,2753.33
oke6874,324.85
etn1447,414.57
iqn2842,423.12
nxp4755,1395.31
fyv5834,174.84
vwk6637,44.61
qor1645,741.55
sgf4313,761.94
hcw5366,227.56
zsc5625,594.74
snd8533,2295.24
htx4862,917.3
tks5624,375.53
net5467,465.6
jho2152,814.6
poy2188,497.41
fmi7533,490.93
ipm2132,2209.13
ltv4687,507.79
yfl7134,1607.52
vqs5112,90.53
cxj5511,608.06
